car_ID,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,price,marque,modele,city L/100km,highway L/100km
1,3,essence,std,2,convertible,propulsion,avant,225.04399999999998,428.752,162.814,123.952,1155.75335876,dohc,4,2.1303183199999998,mpfi,3.47,2.68,9.0,111,5000,13495.0,alfa-romero,giulia,11.200476190476191,8.711481481481481
2,3,essence,std,2,convertible,propulsion,avant,225.04399999999998,428.752,162.814,123.952,1155.75335876,dohc,4,2.1303183199999998,mpfi,3.47,2.68,9.0,111,5000,16500.0,alfa-romero,stelvio,11.200476190476191,8.711481481481481
3,1,essence,std,2,hayon,propulsion,avant,240.03,434.84799999999996,166.37,133.096,1280.49126051,ohcv,6,2.490833728,mpfi,2.68,3.47,9.0,154,5000,16500.0,alfa-romero,Quadrifoglio,12.379473684210527,9.046538461538463
4,2,essence,std,4,berline,traction,avant,253.492,448.56399999999996,168.148,137.922,1060.04536869,ohc,4,1.786189976,mpfi,3.19,3.4,10.0,102,5500,13950.0,audi,100ls,9.800416666666667,7.840333333333334
5,2,essence,std,4,berline,quatre roues motrices,avant,252.47600000000003,448.56399999999996,168.656,137.922,1280.94485288,ohc,5,2.228640704,mpfi,3.19,3.4,8.0,115,5500,17450.0,audi,100ls,13.067222222222222,10.691363636363636
6,2,essence,std,2,berline,traction,avant,253.492,450.34200000000004,168.402,134.874,1137.15607159,ohc,5,2.228640704,mpfi,3.19,3.4,8.5,110,5500,15250.0,audi,fox,12.379473684210527,9.4084
7,1,essence,std,4,berline,traction,avant,268.73199999999997,489.45799999999997,181.35600000000002,141.478,1290.0167002800001,ohc,5,2.228640704,mpfi,3.19,3.4,8.5,110,5500,17710.0,audi,100ls,12.379473684210527,9.4084
8,1,essence,std,4,break,traction,avant,268.73199999999997,489.45799999999997,181.35600000000002,141.478,1339.91186098,ohc,5,2.228640704,mpfi,3.19,3.4,8.5,110,5500,18920.0,audi,5000,12.379473684210527,9.4084
9,1,essence,turbo,4,berline,traction,avant,268.73199999999997,489.45799999999997,181.35600000000002,141.986,1399.78605382,ohc,5,2.146705384,mpfi,3.13,3.4,8.3,140,5500,23875.0,audi,4000,13.835882352941177,11.7605
10,0,essence,turbo,2,hayon,quatre roues motrices,avant,252.73,452.628,172.466,132.08,1384.8175056100001,ohc,5,2.146705384,mpfi,3.13,3.4,7.0,160,5500,17859.167,audi,5000s(diesel),14.700625,10.691363636363636
